colonies_number,yield_per_colony,stocks,average_price
440000,53,3498000,129
24000,60,576000,122
220000,93,2026000,112
50000,52,52000,110
7000,136,29000,110
100000,57,1653000,135
9000,80,130000,142
8000,62,233000,114
33000,70,901000,137
17000,52,407000,156
3000,54,47000,165
35000,124,347000,114
11000,41,266000,121
3000,46,21000,175
72000,77,1885000,134
117000,73,1110000,142
18000,78,281000,118
18000,53,200000,137
134000,63,1097000,135
43000,75,1161000,145
9000,62,61000,227
10000,35,74000,98
11000,44,252000,109
60000,98,2470000,117
14000,51,86000,136
320000,75,8160000,142
16000,81,518000,140
3000,53,51000,160
39000,49,803000,128
18000,57,513000,130
5000,94,14000,125
225000,51,2410000,140
8000,61,137000,137
114000,67,985000,109
22000,59,208000,129
7000,89,274000,119
7000,38,69000,186
44000,51,494000,125
9000,51,151000,137
70000,95,2461000,130
38000,63,383000,139
13000,82,43000,126
40000,72,1123000,138
40000,75,810000,127
480000,67,6432000,142
24000,86,722000,138
210000,71,1491000,135
52000,65,270000,128
7000,113,43000,143
100000,46,1380000,135
7000,60,252000,173
5000,56,78000,159
32000,59,868000,145
16000,57,447000,158
5000,48,14000,164
34000,90,275000,124
8000,33,145000,140
2000,42,21000,191
65000,74,1732000,147
120000,83,1892000,146
21000,69,246000,128
17000,53,189000,141
145000,66,1914000,148
45000,74,1299000,143
6000,64,46000,241
10000,19,101000,157
6000,41,108000,116
67000,72,1640000,140
10000,44,79000,190
340000,87,6803000,136
15000,50,278000,143
3000,47,69000,183
42000,51,964000,126
27000,50,419000,132
6000,70,13000,195
200000,70,2520000,146
7000,40,53000,153
140000,67,1126000,142
23000,57,144000,130
7000,83,163000,192
6000,37,69000,169
58000,56,942000,152
8000,47,194000,201
74000,77,2678000,144
39000,81,474000,140
12000,87,282000,140
32000,55,774000,115
40000,57,388000,90
390000,45,5792000,101
23000,80,791000,148
205000,98,2009000,100
63000,49,648000,118
8000,96,77000,141
100000,63,2520000,101
7000,55,193000,193
7000,59,145000,158
35000,67,1337000,128
14000,80,683000,123
35000,98,240000,79
7000,31,37000,127
65000,67,2439000,117
135000,75,1924000,104
18000,65,421000,80
16000,41,151000,137
140000,77,3773000,106
51000,89,2043000,107
14000,55,316000,330
12000,27,45000,138
8000,44,127000,122
64000,67,1887000,133
9000,40,72000,218
390000,78,9126000,105
16000,58,353000,150
42000,54,1111000,124
30000,54,810000,138
215000,105,13545000,106
6000,54,91000,172
116000,76,1411000,96
23000,70,531000,104
6000,68,192000,145
7000,38,69000,213
56000,63,1376000,103
9000,55,183000,142
68000,86,2632000,133
39000,75,380000,109
13000,66,266000,128
36000,50,720000,97
36000,69,571000,95
400000,75,9300000,84
26000,70,837000,104
160000,86,2477000,87
59000,49,434000,84
9000,131,283000,134
95000,37,1793000,80
8000,85,408000,162
8000,64,189000,119
28000,88,1232000,98
16000,50,328000,124
5000,50,40000,212
35000,97,611000,71
8000,26,193000,187
65000,68,2519000,99
120000,74,1598000,83
16000,80,346000,66
15000,50,180000,121
130000,67,3136000,80
40000,68,2530000,89
12000,46,442000,209
12000,32,104000,118
7000,49,113000,102
60000,73,2321000,122
10000,54,146000,194
370000,91,8418000,81
15000,69,580000,141
39000,42,557000,108
28000,56,800000,105
220000,79,11818000,76
7000,55,92000,164
84000,71,954000,85
23000,45,331000,103
6000,91,169000,106
8000,37,59000,221
51000,55,1935000,106
8000,51,102000,124
64000,83,2922000,114
40000,56,291000,87
11000,72,230000,146
30000,65,839000,139
32000,76,730000,105
380000,52,7706000,98
36000,75,1458000,139
170000,81,1790000,101
63000,74,746000,116
10000,93,233000,119
95000,44,2592000,86
10000,66,356000,188
6000,54,107000,151
26000,84,1441000,115
14000,55,246000,140
5000,56,70000,220
30000,90,675000,89
11000,23,86000,200
72000,55,2099000,128
125000,80,3300000,89
14000,98,453000,105
15000,46,117000,149
132000,79,1981000,100
47000,73,3843000,104
9000,37,50000,355
9000,36,152000,115
7000,48,104000,96
60000,64,2458000,138
10000,50,215000,156
350000,74,7770000,90
14000,56,282000,145
46000,48,729000,111
28000,40,605000,161
225000,47,10575000,82
7000,55,58000,184
82000,70,976000,87
23000,50,265000,105
6000,56,144000,121
8000,42,114000,219
49000,52,1605000,119
